Seed,NumberOfItems,Runtime 1,Runtime 2,Runtime 3,Average Runtime
1,1,2,2,1,1.666666667
1001,1001,11,4,11,8.666666667
2001,2001,17,10,11,12.66666667
3001,3001,30,18,23,23.66666667
4001,4001,50,29,36,38.33333333
5001,5001,52,43,42,45.66666667
6001,6001,62,62,62,62
7001,7001,79,88,80,82.33333333
8001,8001,101,107,105,104.3333333
9001,9001,138,127,133,132.6666667
10001,10001,173,155,166,164.6666667
11001,11001,196,196,202,198
12001,12001,240,235,245,240
13001,13001,274,283,290,282.3333333
14001,14001,314,334,320,322.6666667
15001,15001,371,436,373,393.3333333
16001,16001,409,463,415,429
