Seed,NumberOfItems,Runtime 1,Runtime 2,Runtime 3,Average Runtime
1,1,0,0,0,0
1001,1001,1,1,1,1
2001,2001,7,7,7,7
3001,3001,18,17,21,18.66666667
4001,4001,39,29,35,34.33333333
5001,5001,59,46,44,49.66666667
6001,6001,74,68,73,71.66666667
7001,7001,83,89,88,86.66666667
8001,8001,107,112,108,109
9001,9001,145,144,150,146.3333333
10001,10001,171,173,193,179
11001,11001,205,210,195,203.3333333
12001,12001,258,248,248,251.3333333
13001,13001,317,294,306,305.6666667
14001,14001,334,354,321,336.3333333
15001,15001,387,408,363,386
16001,16001,456,479,442,459
