142857,LinearHashInsert,ChainHashInsert,TreeHashInsert,LinearHashSearchSuccessful,ChainHashSearchSuccessful,TreeHashSearchSuccessful,LinearHashSearchUnsuccessful,ChainHashSearchUnsuccessful,TreeHashSearchUnsuccessful
10 0.3 3,6.291456E7,1.66010552E10,9.2274688E7,0.0,0.0,2097152.0,0.0,1048576.0,1048576.0
10 0.5 4,4.0894464E7,1.80575273E10,8.4934656E7,1048576.0,1048576.0,0.0,0.0,0.0,3145728.0
10 0.75 5,3.2505856E7,1.6445866E10,8.2837504E7,0.0,1048576.0,1048576.0,0.0,1048576.0,2097152.0
20 0.3 3,3.670016E7,7.1607255E9,8.0740352E7,0.0,1048576.0,2097152.0,0.0,0.0,2097152.0
20 0.5 4,3.0408704E7,6.9237473E9,9.2274688E7,0.0,1048576.0,1048576.0,0.0,0.0,1048576.0
20 0.75 5,3.0408704E7,7.2467087E9,7.9691776E7,0.0,1048576.0,1048576.0,0.0,0.0,3145728.0
30 0.3 3,3.145728E7,4.23414989E9,7.9691776E7,0.0,0.0,1048576.0,0.0,0.0,1048576.0
30 0.5 4,3.5651584E7,4.3557847E9,7.9691776E7,0.0,1048576.0,2097152.0,0.0,0.0,2097152.0
30 0.75 5,3.5651584E7,4.8412754E9,7.9691776E7,0.0,0.0,1048576.0,0.0,0.0,2097152.0
40 0.3 3,3.145728E7,3.24848845E9,7.7594624E7,0.0,0.0,2097152.0,0.0,0.0,1048576.0
40 0.5 4,3.2505856E7,3.57983846E9,8.2837504E7,0.0,0.0,2097152.0,0.0,0.0,1048576.0
40 0.75 5,3.0408704E7,3.23275981E9,7.7594624E7,0.0,0.0,2097152.0,0.0,0.0,1048576.0
