ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,535
1,searcher,0,Did not die,535
2,searcher,0,Did not die,535
3,searcher,0,Did not die,535
4,searcher,0,Did not die,535
5,minerBuilder,0,Did not die,535
6,minerBuilder,0,Pit,379
7,minerBuilder,0,Did not die,535
8,minerBuilder,0,Did not die,535
9,minerBuilder,0,Pit,433
10,superMiner,0,Lava,534
11,superMiner,0,Did not die,535
12,superMiner,3,Did not die,535
13,superMiner,0,Did not die,535
14,superMiner,0,Did not die,535
15,ultimateMiner,0,Did not die,535
16,ultimateMiner,3,Did not die,535
17,ultimateMiner,0,Did not die,535
18,ultimateMiner,0,Pit,486
19,ultimateMiner,0,Did not die,535
