ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,504
1,searcher,0,Did not die,504
2,searcher,0,Did not die,504
3,searcher,0,Did not die,504
4,searcher,0,Did not die,504
5,digger,0,Did not die,504
6,minerBuilder,0,Did not die,504
7,minerBuilder,0,Did not die,504
8,minerBuilder,0,Did not die,504
9,minerBuilder,3,Did not die,504
10,minerBuilder,3,Did not die,504
11,superMiner,0,Did not die,504
12,superMiner,0,Did not die,504
13,superMiner,0,Did not die,504
14,superMiner,0,Did not die,504
15,superMiner,0,Did not die,504
16,ultimateMiner,0,Pit,387
17,ultimateMiner,0,Did not die,504
18,ultimateMiner,0,Pit,447
19,ultimateMiner,0,Pit,503
20,ultimateMiner,0,Did not die,504
