ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,560
1,searcher,0,Did not die,560
2,searcher,0,Did not die,560
3,searcher,0,Did not die,560
4,searcher,0,Did not die,560
5,digger,0,Did not die,560
6,digger,0,Did not die,560
7,digger,0,Did not die,560
8,minerBuilder,0,Did not die,560
9,minerBuilder,0,Did not die,560
10,minerBuilder,3,Did not die,560
11,minerBuilder,0,Did not die,560
12,minerBuilder,0,Did not die,560
13,superMiner,0,Pit,486
14,superMiner,0,Did not die,560
15,superMiner,0,Did not die,560
16,superMiner,0,Did not die,560
17,superMiner,0,Pit,436
18,ultimateMiner,0,Pit,559
19,ultimateMiner,0,Did not die,560
20,ultimateMiner,0,Did not die,560
21,ultimateMiner,0,Did not die,560
22,ultimateMiner,0,Did not die,560
