ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,740
1,searcher,0,Did not die,740
2,searcher,0,Did not die,740
3,searcher,0,Did not die,740
4,searcher,0,Did not die,740
5,digger,0,Did not die,740
6,digger,0,Pit,562
7,digger,0,Did not die,740
8,digger,0,Did not die,740
9,digger,0,Lava,703
10,digger,0,Lava,710
11,minerBuilder,0,Pit,635
12,minerBuilder,0,Did not die,740
13,minerBuilder,0,Did not die,740
14,minerBuilder,0,Did not die,740
15,minerBuilder,3,Did not die,740
16,superMiner,0,Lava,739
17,superMiner,0,Did not die,740
18,superMiner,0,Did not die,740
19,superMiner,0,Did not die,740
20,superMiner,0,Pit,493
21,ultimateMiner,3,Did not die,740
22,ultimateMiner,0,Did not die,740
23,ultimateMiner,0,Did not die,740
24,ultimateMiner,0,Did not die,740
25,ultimateMiner,0,Did not die,740
