ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,708
1,searcher,0,Did not die,708
2,searcher,0,Did not die,708
3,searcher,0,Did not die,708
4,searcher,0,Did not die,708
5,digger,0,Did not die,708
6,digger,0,Did not die,708
7,digger,0,Did not die,708
8,digger,0,Did not die,708
9,digger,0,Did not die,708
10,digger,0,Did not die,708
11,digger,0,Pit,614
12,digger,0,Did not die,708
13,digger,0,Did not die,708
14,minerBuilder,0,Pit,523
15,minerBuilder,0,Did not die,708
16,minerBuilder,0,Did not die,708
17,minerBuilder,0,Did not die,708
18,minerBuilder,0,Did not die,708
19,superMiner,0,Did not die,708
20,superMiner,0,Did not die,708
21,superMiner,3,Did not die,708
22,superMiner,0,Did not die,708
23,superMiner,0,Did not die,708
24,ultimateMiner,0,Did not die,708
25,ultimateMiner,0,Did not die,708
26,ultimateMiner,0,Did not die,708
27,ultimateMiner,0,Pit,707
28,ultimateMiner,0,Did not die,708
