ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,632
1,searcher,0,Did not die,632
2,searcher,0,Did not die,632
3,searcher,0,Did not die,632
4,searcher,0,Did not die,632
5,digger,0,Did not die,632
6,digger,0,Did not die,632
7,digger,0,Did not die,632
8,digger,0,Did not die,632
9,digger,0,Did not die,632
10,digger,0,Did not die,632
11,digger,0,Did not die,632
12,digger,0,Did not die,632
13,digger,0,Did not die,632
14,digger,0,Did not die,632
15,minerBuilder,0,Did not die,632
16,minerBuilder,0,Did not die,632
17,minerBuilder,0,Did not die,632
18,minerBuilder,0,Did not die,632
19,minerBuilder,3,Did not die,632
20,superMiner,0,Did not die,632
21,superMiner,0,Did not die,632
22,superMiner,0,Did not die,632
23,superMiner,0,Pit,631
24,superMiner,0,Did not die,632
25,ultimateMiner,0,Did not die,632
26,ultimateMiner,0,Did not die,632
27,ultimateMiner,0,Pit,543
28,ultimateMiner,0,Did not die,632
29,ultimateMiner,0,Did not die,632
