ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,529
1,searcher,0,Did not die,529
2,searcher,0,Did not die,529
3,searcher,0,Did not die,529
4,searcher,0,Did not die,529
5,digger,0,Did not die,529
6,digger,0,Did not die,529
7,minerBuilder,0,Pit,410
8,minerBuilder,0,Did not die,529
9,minerBuilder,0,Did not die,529
10,minerBuilder,0,Did not die,529
11,minerBuilder,0,Did not die,529
12,superMiner,0,Did not die,529
13,superMiner,0,Did not die,529
14,superMiner,0,Did not die,529
15,superMiner,0,Pit,528
16,superMiner,0,Did not die,529
17,ultimateMiner,0,Pit,464
18,ultimateMiner,3,Did not die,529
19,ultimateMiner,0,Did not die,529
20,ultimateMiner,3,Did not die,529
21,ultimateMiner,0,Did not die,529
