ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,598
1,searcher,0,Did not die,598
2,searcher,0,Did not die,598
3,searcher,0,Did not die,598
4,searcher,0,Did not die,598
5,digger,0,Did not die,598
6,digger,0,Did not die,598
7,digger,0,Did not die,598
8,digger,0,Did not die,598
9,digger,0,Did not die,598
10,digger,0,Did not die,598
11,digger,0,Did not die,598
12,digger,0,Did not die,598
13,minerBuilder,0,Did not die,598
14,minerBuilder,0,Did not die,598
15,minerBuilder,0,Did not die,598
16,minerBuilder,0,Did not die,598
17,minerBuilder,0,Pit,597
18,superMiner,0,Did not die,598
19,superMiner,0,Did not die,598
20,superMiner,0,Pit,525
21,superMiner,0,Did not die,598
22,superMiner,3,Did not die,598
23,ultimateMiner,0,Did not die,598
24,ultimateMiner,0,Did not die,598
25,ultimateMiner,0,Did not die,598
26,ultimateMiner,0,Did not die,598
27,ultimateMiner,0,Did not die,598
