ID,Type,TotalGoldMined,Death,Time
0,digger,0,Did not die,536
1,digger,0,Did not die,536
2,digger,0,Pit,479
3,digger,0,Did not die,536
4,digger,0,Did not die,536
5,minerBuilder,0,Pit,428
6,minerBuilder,0,Did not die,536
7,minerBuilder,0,Did not die,536
8,minerBuilder,0,Did not die,536
9,minerBuilder,0,Did not die,536
10,superMiner,0,Did not die,536
11,superMiner,3,Did not die,536
12,superMiner,0,Did not die,536
13,superMiner,0,Pit,370
14,superMiner,0,Did not die,536
15,ultimateMiner,3,Did not die,536
16,ultimateMiner,0,Lava,535
17,ultimateMiner,0,Did not die,536
18,ultimateMiner,0,Did not die,536
19,ultimateMiner,0,Did not die,536
