ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,557
1,digger,0,Did not die,557
2,digger,0,Did not die,557
3,digger,0,Did not die,557
4,digger,0,Did not die,557
5,digger,0,Pit,455
6,minerBuilder,0,Lava,556
7,minerBuilder,0,Did not die,557
8,minerBuilder,0,Did not die,557
9,minerBuilder,0,Pit,386
10,minerBuilder,0,Did not die,557
11,superMiner,0,Pit,500
12,superMiner,0,Did not die,557
13,superMiner,0,Did not die,557
14,superMiner,0,Did not die,557
15,superMiner,0,Did not die,557
16,ultimateMiner,0,Did not die,557
17,ultimateMiner,0,Did not die,557
18,ultimateMiner,3,Did not die,557
19,ultimateMiner,3,Did not die,557
20,ultimateMiner,0,Did not die,557
