ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,585
1,searcher,0,Did not die,585
2,digger,0,Did not die,585
3,digger,0,Did not die,585
4,digger,0,Pit,524
5,digger,0,Did not die,585
6,digger,0,Did not die,585
7,minerBuilder,3,Did not die,585
8,minerBuilder,0,Did not die,585
9,minerBuilder,0,Did not die,585
10,minerBuilder,0,Did not die,585
11,minerBuilder,0,Did not die,585
12,superMiner,0,Did not die,585
13,superMiner,3,Did not die,585
14,superMiner,0,Pit,472
15,superMiner,0,Did not die,585
16,superMiner,0,Did not die,585
17,ultimateMiner,0,Pit,403
18,ultimateMiner,0,Did not die,585
19,ultimateMiner,0,Did not die,585
20,ultimateMiner,0,Did not die,585
21,ultimateMiner,0,Lava,584
