ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,614
1,searcher,0,Did not die,614
2,searcher,0,Did not die,614
3,digger,0,Did not die,614
4,digger,0,Pit,489
5,digger,0,Did not die,614
6,digger,0,Did not die,614
7,digger,0,Did not die,614
8,minerBuilder,0,Did not die,614
9,minerBuilder,0,Did not die,614
10,minerBuilder,0,Lava,613
11,minerBuilder,0,Pit,545
12,minerBuilder,0,Did not die,614
13,superMiner,3,Did not die,614
14,superMiner,3,Did not die,614
15,superMiner,0,Did not die,614
16,superMiner,0,Did not die,614
17,superMiner,0,Did not die,614
18,ultimateMiner,0,Pit,415
19,ultimateMiner,0,Did not die,614
20,ultimateMiner,0,Did not die,614
21,ultimateMiner,0,Did not die,614
22,ultimateMiner,0,Did not die,614
