ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,652
1,searcher,0,Did not die,652
2,searcher,0,Did not die,652
3,searcher,0,Did not die,652
4,digger,0,Did not die,652
5,digger,0,Did not die,652
6,digger,0,Pit,437
7,digger,0,Did not die,652
8,digger,0,Did not die,652
9,minerBuilder,0,Did not die,652
10,minerBuilder,3,Did not die,652
11,minerBuilder,0,Did not die,652
12,minerBuilder,0,Did not die,652
13,minerBuilder,3,Did not die,652
14,superMiner,0,Did not die,652
15,superMiner,0,Did not die,652
16,superMiner,0,Lava,651
17,superMiner,0,Did not die,652
18,superMiner,0,Did not die,652
19,ultimateMiner,0,Did not die,652
20,ultimateMiner,0,Pit,508
21,ultimateMiner,0,Did not die,652
22,ultimateMiner,0,Did not die,652
23,ultimateMiner,0,Pit,569
