ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,673
1,searcher,0,Did not die,673
2,searcher,0,Did not die,673
3,searcher,0,Did not die,673
4,searcher,0,Did not die,673
5,digger,0,Did not die,673
6,digger,0,Did not die,673
7,digger,0,Did not die,673
8,digger,0,Did not die,673
9,digger,0,Pit,607
10,minerBuilder,0,Did not die,673
11,minerBuilder,0,Did not die,673
12,minerBuilder,0,Pit,523
13,minerBuilder,0,Did not die,673
14,minerBuilder,0,Did not die,673
15,superMiner,3,Did not die,673
16,superMiner,0,Did not die,673
17,superMiner,0,Did not die,673
18,superMiner,0,Did not die,673
19,superMiner,0,Lava,672
20,ultimateMiner,3,Did not die,673
21,ultimateMiner,0,Did not die,673
22,ultimateMiner,0,Did not die,673
23,ultimateMiner,0,Did not die,673
24,ultimateMiner,0,Pit,465
