ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,646
1,searcher,0,Did not die,646
2,searcher,0,Did not die,646
3,searcher,0,Did not die,646
4,searcher,0,Did not die,646
5,searcher,0,Did not die,646
6,searcher,0,Did not die,646
7,digger,0,Did not die,646
8,digger,0,Did not die,646
9,digger,0,Did not die,646
10,digger,0,Did not die,646
11,digger,0,Did not die,646
12,minerBuilder,0,Did not die,646
13,minerBuilder,3,Did not die,646
14,minerBuilder,0,Did not die,646
15,minerBuilder,0,Did not die,646
16,minerBuilder,0,Pit,645
17,superMiner,0,Did not die,646
18,superMiner,0,Did not die,646
19,superMiner,0,Did not die,646
20,superMiner,0,Did not die,646
21,superMiner,0,Pit,590
22,ultimateMiner,0,Did not die,646
23,ultimateMiner,0,Pit,497
24,ultimateMiner,0,Did not die,646
25,ultimateMiner,0,Did not die,646
26,ultimateMiner,3,Did not die,646
