ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,754
1,searcher,0,Did not die,754
2,searcher,0,Did not die,754
3,searcher,0,Did not die,754
4,searcher,0,Did not die,754
5,searcher,0,Did not die,754
6,searcher,0,Did not die,754
7,searcher,0,Did not die,754
8,digger,0,Did not die,754
9,digger,0,Pit,505
10,digger,0,Did not die,754
11,digger,0,Did not die,754
12,digger,0,Did not die,754
13,minerBuilder,0,Did not die,754
14,minerBuilder,0,Lava,753
15,minerBuilder,0,Did not die,754
16,minerBuilder,0,Did not die,754
17,minerBuilder,0,Did not die,754
18,superMiner,0,Did not die,754
19,superMiner,0,Did not die,754
20,superMiner,0,Did not die,754
21,superMiner,3,Did not die,754
22,superMiner,0,Did not die,754
23,ultimateMiner,0,Pit,682
24,ultimateMiner,0,Did not die,754
25,ultimateMiner,0,Pit,593
26,ultimateMiner,0,Did not die,754
27,ultimateMiner,0,Did not die,754
