ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,818
1,searcher,0,Did not die,818
2,searcher,0,Did not die,818
3,searcher,0,Did not die,818
4,searcher,0,Did not die,818
5,searcher,0,Did not die,818
6,searcher,0,Did not die,818
7,searcher,0,Did not die,818
8,searcher,0,Did not die,818
9,searcher,0,Did not die,818
10,digger,0,Did not die,818
11,digger,0,Pit,633
12,digger,0,Did not die,818
13,digger,0,Did not die,818
14,digger,0,Did not die,818
15,minerBuilder,0,Did not die,818
16,minerBuilder,0,Pit,714
17,minerBuilder,0,Did not die,818
18,minerBuilder,0,Did not die,818
19,minerBuilder,0,Did not die,818
20,superMiner,0,Did not die,818
21,superMiner,0,Did not die,818
22,superMiner,0,Did not die,818
23,superMiner,0,Did not die,818
24,superMiner,0,Pit,565
25,ultimateMiner,0,Did not die,818
26,ultimateMiner,0,Lava,817
27,ultimateMiner,0,Did not die,818
28,ultimateMiner,3,Did not die,818
29,ultimateMiner,0,Did not die,818
