ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,700
1,searcher,0,Did not die,700
2,searcher,0,Did not die,700
3,searcher,0,Did not die,700
4,searcher,0,Did not die,700
5,searcher,0,Did not die,700
6,searcher,0,Did not die,700
7,searcher,0,Did not die,700
8,searcher,0,Did not die,700
9,digger,0,Did not die,700
10,digger,0,Did not die,700
11,digger,0,Did not die,700
12,digger,0,Did not die,700
13,digger,0,Did not die,700
14,minerBuilder,0,Did not die,700
15,minerBuilder,0,Did not die,700
16,minerBuilder,0,Did not die,700
17,minerBuilder,0,Pit,615
18,minerBuilder,0,Did not die,700
19,superMiner,0,Did not die,700
20,superMiner,0,Did not die,700
21,superMiner,0,Did not die,700
22,superMiner,0,Pit,699
23,superMiner,0,Did not die,700
24,ultimateMiner,0,Did not die,700
25,ultimateMiner,3,Did not die,700
26,ultimateMiner,0,Did not die,700
27,ultimateMiner,0,Pit,525
28,ultimateMiner,0,Did not die,700
