ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,586
1,searcher,0,Did not die,586
2,searcher,0,Did not die,586
3,searcher,0,Did not die,586
4,searcher,0,Did not die,586
5,digger,0,Did not die,586
6,digger,0,Did not die,586
7,digger,0,Pit,441
8,digger,0,Did not die,586
9,digger,0,Did not die,586
10,minerBuilder,5,Did not die,586
11,minerBuilder,0,Lava,553
12,minerBuilder,0,Did not die,586
13,minerBuilder,0,Did not die,586
14,minerBuilder,0,Did not die,586
15,superMiner,0,Did not die,586
16,ultimateMiner,0,Lava,585
17,ultimateMiner,0,Did not die,586
18,ultimateMiner,0,Pit,386
19,ultimateMiner,0,Pit,509
20,ultimateMiner,0,Did not die,586
