ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,583
1,searcher,0,Did not die,583
2,searcher,0,Did not die,583
3,searcher,0,Did not die,583
4,searcher,0,Did not die,583
5,digger,0,Did not die,583
6,digger,0,Did not die,583
7,digger,0,Did not die,583
8,digger,0,Did not die,583
9,digger,0,Did not die,583
10,minerBuilder,0,Pit,582
11,minerBuilder,0,Did not die,583
12,minerBuilder,0,Pit,436
13,minerBuilder,0,Did not die,583
14,minerBuilder,0,Did not die,583
15,superMiner,0,Did not die,583
16,superMiner,0,Did not die,583
17,superMiner,0,Did not die,583
18,superMiner,0,Did not die,583
19,ultimateMiner,0,Did not die,583
20,ultimateMiner,0,Did not die,583
21,ultimateMiner,0,Pit,502
22,ultimateMiner,0,Did not die,583
23,ultimateMiner,5,Did not die,583
