ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,588
1,searcher,0,Did not die,588
2,searcher,0,Did not die,588
3,searcher,0,Did not die,588
4,searcher,0,Did not die,588
5,digger,0,Did not die,588
6,digger,0,Did not die,588
7,digger,0,Did not die,588
8,digger,0,Did not die,588
9,digger,0,Did not die,588
10,minerBuilder,5,Did not die,588
11,minerBuilder,0,Did not die,588
12,minerBuilder,0,Did not die,588
13,minerBuilder,0,Pit,491
14,minerBuilder,0,Did not die,588
15,superMiner,0,Pit,587
16,superMiner,0,Did not die,588
17,superMiner,0,Did not die,588
18,superMiner,5,Did not die,588
19,superMiner,0,Did not die,588
20,superMiner,0,Did not die,588
21,superMiner,0,Did not die,588
22,ultimateMiner,0,Did not die,588
23,ultimateMiner,0,Did not die,588
24,ultimateMiner,0,Did not die,588
25,ultimateMiner,0,Did not die,588
26,ultimateMiner,0,Did not die,588
