ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,611
1,searcher,0,Did not die,611
2,searcher,0,Did not die,611
3,searcher,0,Did not die,611
4,searcher,0,Did not die,611
5,digger,0,Did not die,611
6,digger,0,Did not die,611
7,digger,0,Did not die,611
8,digger,0,Did not die,611
9,digger,0,Did not die,611
10,minerBuilder,0,Pit,610
11,minerBuilder,0,Did not die,611
12,minerBuilder,0,Did not die,611
13,minerBuilder,0,Did not die,611
14,minerBuilder,0,Did not die,611
15,superMiner,5,Did not die,611
16,superMiner,0,Did not die,611
17,superMiner,0,Did not die,611
18,superMiner,0,Did not die,611
19,superMiner,0,Pit,527
20,superMiner,5,Did not die,611
21,superMiner,0,Did not die,611
22,superMiner,0,Did not die,611
23,ultimateMiner,0,Did not die,611
24,ultimateMiner,0,Did not die,611
25,ultimateMiner,0,Did not die,611
26,ultimateMiner,0,Did not die,611
27,ultimateMiner,0,Did not die,611
