ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,629
1,searcher,0,Did not die,629
2,searcher,0,Did not die,629
3,searcher,0,Did not die,629
4,searcher,0,Did not die,629
5,digger,0,Did not die,629
6,digger,0,Pit,530
7,digger,0,Did not die,629
8,digger,0,Pit,479
9,digger,0,Did not die,629
10,minerBuilder,3,Did not die,629
11,minerBuilder,0,Did not die,629
12,minerBuilder,0,Did not die,629
13,minerBuilder,3,Did not die,629
14,minerBuilder,0,Lava,584
15,superMiner,0,Pit,410
16,superMiner,0,Did not die,629
17,ultimateMiner,0,Did not die,629
18,ultimateMiner,0,Did not die,629
19,ultimateMiner,0,Lava,601
20,ultimateMiner,0,Did not die,629
21,ultimateMiner,0,Lava,628
