ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,579
1,searcher,0,Did not die,579
2,searcher,0,Did not die,579
3,searcher,0,Did not die,579
4,searcher,0,Did not die,579
5,digger,0,Did not die,579
6,digger,0,Did not die,579
7,digger,0,Did not die,579
8,digger,0,Did not die,579
9,digger,0,Did not die,579
10,minerBuilder,0,Did not die,579
11,minerBuilder,0,Did not die,579
12,minerBuilder,3,Did not die,579
13,minerBuilder,0,Did not die,579
14,minerBuilder,0,Did not die,579
15,superMiner,0,Did not die,579
16,superMiner,0,Did not die,579
17,superMiner,0,Pit,449
18,superMiner,0,Did not die,579
19,ultimateMiner,3,Did not die,579
20,ultimateMiner,0,Pit,511
21,ultimateMiner,0,Did not die,579
22,ultimateMiner,0,Pit,578
23,ultimateMiner,0,Did not die,579
