ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,633
1,searcher,0,Did not die,633
2,searcher,0,Did not die,633
3,searcher,0,Did not die,633
4,searcher,0,Did not die,633
5,digger,0,Did not die,633
6,digger,0,Did not die,633
7,digger,0,Did not die,633
8,digger,0,Did not die,633
9,digger,0,Pit,561
10,minerBuilder,0,Did not die,633
11,minerBuilder,0,Did not die,633
12,minerBuilder,0,Did not die,633
13,minerBuilder,0,Did not die,633
14,minerBuilder,0,Pit,493
15,superMiner,0,Did not die,633
16,superMiner,0,Did not die,633
17,superMiner,0,Did not die,633
18,superMiner,0,Did not die,633
19,superMiner,0,Did not die,633
20,superMiner,0,Did not die,633
21,ultimateMiner,0,Did not die,633
22,ultimateMiner,0,Did not die,633
23,ultimateMiner,3,Did not die,633
24,ultimateMiner,0,Pit,632
25,ultimateMiner,0,Did not die,633
