ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,666
1,searcher,0,Did not die,666
2,searcher,0,Did not die,666
3,searcher,0,Did not die,666
4,searcher,0,Did not die,666
5,digger,0,Did not die,666
6,digger,0,Did not die,666
7,digger,0,Did not die,666
8,digger,0,Did not die,666
9,digger,0,Pit,511
10,minerBuilder,0,Did not die,666
11,minerBuilder,0,Did not die,666
12,minerBuilder,0,Pit,589
13,minerBuilder,0,Did not die,666
14,minerBuilder,0,Did not die,666
15,superMiner,0,Did not die,666
16,superMiner,0,Did not die,666
17,superMiner,0,Did not die,666
18,superMiner,0,Did not die,666
19,superMiner,0,Pit,665
20,superMiner,0,Did not die,666
21,superMiner,3,Did not die,666
22,ultimateMiner,0,Did not die,666
23,ultimateMiner,3,Did not die,666
24,ultimateMiner,0,Did not die,666
25,ultimateMiner,0,Did not die,666
26,ultimateMiner,0,Did not die,666
