ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,597
1,searcher,0,Did not die,597
2,searcher,0,Did not die,597
3,searcher,0,Did not die,597
4,searcher,0,Did not die,597
5,digger,0,Did not die,597
6,digger,0,Did not die,597
7,digger,0,Did not die,597
8,digger,0,Did not die,597
9,digger,0,Did not die,597
10,minerBuilder,0,Did not die,597
11,minerBuilder,0,Did not die,597
12,minerBuilder,0,Did not die,597
13,minerBuilder,0,Pit,520
14,minerBuilder,0,Did not die,597
15,superMiner,0,Did not die,597
16,superMiner,0,Did not die,597
17,superMiner,0,Did not die,597
18,superMiner,0,Pit,596
19,superMiner,0,Did not die,597
20,superMiner,3,Did not die,597
21,superMiner,0,Did not die,597
22,superMiner,0,Did not die,597
23,ultimateMiner,3,Did not die,597
24,ultimateMiner,0,Did not die,597
25,ultimateMiner,0,Did not die,597
26,ultimateMiner,0,Did not die,597
27,ultimateMiner,0,Did not die,597
