ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,526
1,searcher,0,Did not die,526
2,searcher,0,Did not die,526
3,searcher,0,Did not die,526
4,searcher,0,Did not die,526
5,digger,0,Did not die,526
6,digger,0,Did not die,526
7,digger,0,Did not die,526
8,digger,0,Did not die,526
9,digger,0,Did not die,526
10,minerBuilder,0,Did not die,526
11,minerBuilder,0,Did not die,526
12,minerBuilder,0,Did not die,526
13,minerBuilder,0,Did not die,526
14,minerBuilder,0,Did not die,526
15,superMiner,0,Did not die,526
16,superMiner,0,Pit,525
17,superMiner,0,Did not die,526
18,superMiner,0,Did not die,526
19,superMiner,0,Did not die,526
20,superMiner,0,Did not die,526
21,superMiner,0,Did not die,526
22,superMiner,0,Did not die,526
23,superMiner,0,Did not die,526
24,ultimateMiner,2,Did not die,526
25,ultimateMiner,0,Did not die,526
26,ultimateMiner,0,Did not die,526
27,ultimateMiner,0,Did not die,526
28,ultimateMiner,0,Did not die,526
