ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,564
1,searcher,0,Did not die,564
2,searcher,0,Did not die,564
3,searcher,0,Did not die,564
4,searcher,0,Did not die,564
5,digger,0,Did not die,564
6,digger,0,Did not die,564
7,digger,0,Did not die,564
8,digger,0,Pit,374
9,digger,0,Did not die,564
10,minerBuilder,0,Pit,478
11,minerBuilder,3,Did not die,564
12,minerBuilder,0,Lava,545
13,minerBuilder,0,Pit,422
14,minerBuilder,0,Did not die,564
15,superMiner,0,Did not die,564
16,superMiner,0,Lava,527
17,superMiner,0,Lava,563
18,superMiner,3,Did not die,564
19,superMiner,0,Did not die,564
