ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,629
1,searcher,0,Did not die,629
2,searcher,0,Did not die,629
3,searcher,0,Did not die,629
4,searcher,0,Did not die,629
5,digger,0,Did not die,629
6,digger,0,Did not die,629
7,digger,0,Did not die,629
8,digger,0,Lava,619
9,digger,0,Did not die,629
10,minerBuilder,0,Did not die,629
11,minerBuilder,0,Pit,486
12,minerBuilder,0,Did not die,629
13,minerBuilder,0,Pit,546
14,minerBuilder,0,Pit,428
15,superMiner,3,Did not die,629
16,superMiner,0,Did not die,629
17,superMiner,3,Did not die,629
18,superMiner,0,Did not die,629
19,superMiner,0,Lava,628
20,ultimateMiner,0,Did not die,629
21,ultimateMiner,0,Did not die,629
22,ultimateMiner,0,Did not die,629
