ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,670
1,searcher,0,Did not die,670
2,searcher,0,Did not die,670
3,searcher,0,Did not die,670
4,searcher,0,Did not die,670
5,digger,0,Did not die,670
6,digger,0,Pit,529
7,digger,0,Did not die,670
8,digger,0,Did not die,670
9,digger,0,Did not die,670
10,minerBuilder,0,Did not die,670
11,minerBuilder,0,Did not die,670
12,minerBuilder,3,Did not die,670
13,minerBuilder,0,Did not die,670
14,minerBuilder,0,Did not die,670
15,superMiner,0,Did not die,670
16,superMiner,0,Did not die,670
17,superMiner,0,Did not die,670
18,superMiner,0,Pit,464
19,superMiner,0,Did not die,670
20,ultimateMiner,0,Did not die,670
21,ultimateMiner,3,Did not die,670
22,ultimateMiner,0,Pit,596
23,ultimateMiner,0,Lava,669
24,ultimateMiner,0,Did not die,670
