ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,556
1,searcher,0,Did not die,556
2,searcher,0,Did not die,556
3,searcher,0,Did not die,556
4,searcher,0,Did not die,556
5,digger,0,Did not die,556
6,digger,0,Did not die,556
7,digger,0,Did not die,556
8,digger,0,Did not die,556
9,digger,0,Did not die,556
10,minerBuilder,0,Did not die,556
11,minerBuilder,0,Did not die,556
12,minerBuilder,0,Did not die,556
13,minerBuilder,0,Did not die,556
14,minerBuilder,0,Pit,487
15,superMiner,0,Did not die,556
16,superMiner,3,Did not die,556
17,superMiner,0,Did not die,556
18,superMiner,0,Did not die,556
19,superMiner,0,Pit,555
20,ultimateMiner,0,Did not die,556
21,ultimateMiner,0,Did not die,556
22,ultimateMiner,0,Did not die,556
23,ultimateMiner,3,Did not die,556
24,ultimateMiner,0,Did not die,556
25,ultimateMiner,0,Did not die,556
