ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,589
1,searcher,0,Did not die,589
2,searcher,0,Did not die,589
3,searcher,0,Did not die,589
4,searcher,0,Did not die,589
5,digger,0,Did not die,589
6,digger,0,Did not die,589
7,digger,0,Did not die,589
8,digger,0,Did not die,589
9,digger,0,Did not die,589
10,minerBuilder,0,Did not die,589
11,minerBuilder,0,Did not die,589
12,minerBuilder,0,Did not die,589
13,minerBuilder,0,Did not die,589
14,minerBuilder,0,Did not die,589
15,superMiner,0,Did not die,589
16,superMiner,0,Did not die,589
17,superMiner,0,Pit,588
18,superMiner,3,Did not die,589
19,superMiner,0,Did not die,589
20,ultimateMiner,0,Did not die,589
21,ultimateMiner,0,Did not die,589
22,ultimateMiner,0,Pit,511
23,ultimateMiner,0,Did not die,589
24,ultimateMiner,0,Did not die,589
25,ultimateMiner,0,Did not die,589
26,ultimateMiner,0,Did not die,589
