ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,506
1,searcher,0,Did not die,506
2,searcher,0,Did not die,506
3,searcher,0,Did not die,506
4,searcher,0,Did not die,506
5,digger,0,Did not die,506
6,digger,0,Did not die,506
7,digger,0,Did not die,506
8,digger,0,Did not die,506
9,digger,0,Did not die,506
10,minerBuilder,0,Did not die,506
11,minerBuilder,0,Did not die,506
12,minerBuilder,0,Did not die,506
13,minerBuilder,0,Did not die,506
14,minerBuilder,0,Did not die,506
15,superMiner,0,Did not die,506
16,superMiner,0,Did not die,506
17,superMiner,0,Did not die,506
18,superMiner,0,Did not die,506
19,superMiner,0,Did not die,506
20,ultimateMiner,0,Did not die,506
21,ultimateMiner,0,Did not die,506
22,ultimateMiner,0,Pit,505
23,ultimateMiner,0,Did not die,506
24,ultimateMiner,0,Did not die,506
25,ultimateMiner,0,Did not die,506
26,ultimateMiner,0,Did not die,506
27,ultimateMiner,2,Did not die,506
