ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,541
1,searcher,0,Did not die,541
2,searcher,0,Did not die,541
3,searcher,0,Did not die,541
4,searcher,0,Did not die,541
5,digger,0,Did not die,541
6,digger,0,Did not die,541
7,digger,0,Did not die,541
8,digger,0,Did not die,541
9,digger,0,Did not die,541
10,minerBuilder,0,Did not die,541
11,minerBuilder,0,Pit,540
12,minerBuilder,3,Did not die,541
13,minerBuilder,0,Did not die,541
14,minerBuilder,0,Did not die,541
15,superMiner,0,Did not die,541
16,superMiner,0,Did not die,541
17,superMiner,0,Did not die,541
18,superMiner,0,Did not die,541
19,superMiner,0,Did not die,541
20,ultimateMiner,0,Did not die,541
21,ultimateMiner,0,Did not die,541
22,ultimateMiner,0,Did not die,541
23,ultimateMiner,0,Did not die,541
24,ultimateMiner,0,Did not die,541
25,ultimateMiner,2,Did not die,541
26,ultimateMiner,0,Did not die,541
27,ultimateMiner,0,Did not die,541
28,ultimateMiner,0,Did not die,541
