ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,0
1,searcher,0,Did not die,0
2,searcher,0,Did not die,0
3,searcher,0,Did not die,0
4,searcher,0,Did not die,0
5,digger,0,Did not die,0
6,digger,0,Did not die,0
7,digger,0,Did not die,0
8,digger,0,Did not die,0
9,digger,0,Did not die,0
10,minerBuilder,0,Did not die,0
11,minerBuilder,0,Did not die,0
12,minerBuilder,0,Did not die,0
13,minerBuilder,0,Did not die,0
14,minerBuilder,0,Did not die,0
15,superMiner,0,Did not die,0
16,superMiner,0,Did not die,0
17,superMiner,0,Did not die,0
18,superMiner,0,Did not die,0
19,superMiner,0,Did not die,0
20,ultimateMiner,0,Did not die,0
21,ultimateMiner,0,Did not die,0
22,ultimateMiner,0,Did not die,0
23,ultimateMiner,0,Did not die,0
24,ultimateMiner,0,Did not die,0
25,ultimateMiner,0,Did not die,0
26,ultimateMiner,0,Did not die,0
27,ultimateMiner,0,Did not die,0
28,ultimateMiner,0,Did not die,0
29,ultimateMiner,0,Did not die,0
