ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,546
1,searcher,0,Did not die,546
2,searcher,0,Did not die,546
3,searcher,0,Did not die,546
4,searcher,0,Did not die,546
5,digger,0,Did not die,546
6,digger,0,Did not die,546
7,digger,0,Did not die,546
8,digger,0,Did not die,546
9,digger,0,Did not die,546
10,minerBuilder,0,Did not die,546
11,minerBuilder,0,Did not die,546
12,minerBuilder,0,Did not die,546
13,minerBuilder,0,Pit,545
14,minerBuilder,0,Did not die,546
15,superMiner,0,Did not die,546
16,superMiner,5,Did not die,546
17,superMiner,0,Did not die,546
18,superMiner,0,Did not die,546
19,superMiner,0,Did not die,546
20,ultimateMiner,0,Did not die,546
21,ultimateMiner,0,Did not die,546
22,ultimateMiner,0,Did not die,546
23,ultimateMiner,0,Did not die,546
24,ultimateMiner,0,Did not die,546
25,ultimateMiner,0,Pit,490
