ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,613
1,searcher,0,Did not die,613
2,searcher,0,Did not die,613
3,searcher,0,Did not die,613
4,searcher,0,Did not die,613
5,digger,0,Did not die,613
6,digger,0,Did not die,613
7,digger,0,Pit,527
8,digger,0,Did not die,613
9,digger,0,Did not die,613
10,minerBuilder,0,Did not die,613
11,minerBuilder,0,Did not die,613
12,minerBuilder,0,Did not die,613
13,minerBuilder,0,Did not die,613
14,minerBuilder,0,Did not die,613
15,superMiner,0,Pit,612
16,superMiner,0,Did not die,613
17,superMiner,0,Did not die,613
18,superMiner,0,Did not die,613
19,superMiner,0,Did not die,613
20,ultimateMiner,0,Did not die,613
21,ultimateMiner,5,Did not die,613
22,ultimateMiner,0,Did not die,613
23,ultimateMiner,0,Did not die,613
24,ultimateMiner,0,Did not die,613
25,ultimateMiner,0,Did not die,613
26,ultimateMiner,0,Did not die,613
27,ultimateMiner,5,Did not die,613
