ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,540
1,searcher,0,Did not die,540
2,searcher,0,Did not die,540
3,searcher,0,Did not die,540
4,searcher,0,Did not die,540
5,digger,0,Did not die,540
6,digger,0,Did not die,540
7,digger,0,Did not die,540
8,digger,0,Did not die,540
9,digger,0,Did not die,540
10,minerBuilder,0,Did not die,540
11,minerBuilder,0,Did not die,540
12,minerBuilder,0,Did not die,540
13,minerBuilder,0,Did not die,540
14,minerBuilder,0,Did not die,540
15,superMiner,0,Pit,539
16,superMiner,0,Did not die,540
17,superMiner,0,Did not die,540
18,superMiner,0,Did not die,540
19,superMiner,0,Did not die,540
20,ultimateMiner,0,Did not die,540
21,ultimateMiner,0,Did not die,540
22,ultimateMiner,0,Did not die,540
23,ultimateMiner,0,Did not die,540
24,ultimateMiner,0,Did not die,540
25,ultimateMiner,0,Did not die,540
26,ultimateMiner,0,Did not die,540
27,ultimateMiner,0,Did not die,540
28,ultimateMiner,0,Did not die,540
