ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,513
1,searcher,0,Did not die,513
2,searcher,0,Did not die,513
3,searcher,0,Did not die,513
4,searcher,0,Did not die,513
5,digger,0,Did not die,513
6,minerBuilder,0,Did not die,513
7,minerBuilder,5,Did not die,513
8,minerBuilder,0,Did not die,513
9,minerBuilder,0,Did not die,513
10,minerBuilder,0,Did not die,513
11,superMiner,0,Did not die,513
12,superMiner,0,Pit,512
13,superMiner,0,Did not die,513
14,superMiner,0,Did not die,513
15,superMiner,5,Did not die,513
16,ultimateMiner,0,Pit,439
17,ultimateMiner,0,Pit,379
18,ultimateMiner,0,Did not die,513
19,ultimateMiner,0,Did not die,513
20,ultimateMiner,0,Did not die,513
