ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,532
1,searcher,0,Did not die,532
2,searcher,0,Did not die,532
3,searcher,0,Did not die,532
4,searcher,0,Did not die,532
5,digger,0,Did not die,532
6,digger,0,Did not die,532
7,minerBuilder,0,Did not die,532
8,minerBuilder,5,Did not die,532
9,minerBuilder,0,Did not die,532
10,minerBuilder,5,Did not die,532
11,minerBuilder,0,Did not die,532
12,superMiner,0,Pit,406
13,superMiner,0,Pit,461
14,superMiner,0,Pit,531
15,superMiner,0,Did not die,532
16,superMiner,0,Did not die,532
17,ultimateMiner,0,Did not die,532
18,ultimateMiner,0,Did not die,532
19,ultimateMiner,0,Did not die,532
20,ultimateMiner,0,Did not die,532
21,ultimateMiner,0,Did not die,532
