ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,571
1,searcher,0,Did not die,571
2,searcher,0,Did not die,571
3,searcher,0,Did not die,571
4,searcher,0,Did not die,571
5,digger,0,Did not die,571
6,digger,0,Did not die,571
7,digger,0,Did not die,571
8,digger,0,Did not die,571
9,minerBuilder,0,Did not die,571
10,minerBuilder,0,Did not die,571
11,minerBuilder,0,Did not die,571
12,minerBuilder,0,Did not die,571
13,minerBuilder,5,Did not die,571
14,superMiner,0,Did not die,571
15,superMiner,0,Did not die,571
16,superMiner,0,Pit,514
17,superMiner,0,Did not die,571
18,superMiner,0,Pit,570
19,ultimateMiner,0,Pit,455
20,ultimateMiner,0,Did not die,571
21,ultimateMiner,0,Did not die,571
22,ultimateMiner,0,Did not die,571
23,ultimateMiner,5,Did not die,571
