ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,753
1,searcher,0,Did not die,753
2,searcher,0,Did not die,753
3,searcher,0,Did not die,753
4,searcher,0,Did not die,753
5,digger,0,Did not die,753
6,digger,0,Pit,557
7,digger,0,Pit,477
8,digger,0,Lava,733
9,digger,0,Did not die,753
10,digger,0,Lava,726
11,minerBuilder,0,Pit,636
12,minerBuilder,0,Lava,703
13,minerBuilder,2,Did not die,753
14,minerBuilder,0,Did not die,753
15,minerBuilder,0,Lava,752
16,superMiner,0,Did not die,753
17,superMiner,0,Did not die,753
18,superMiner,0,Did not die,753
19,superMiner,0,Did not die,753
20,superMiner,0,Did not die,753
21,ultimateMiner,0,Did not die,753
22,ultimateMiner,5,Did not die,753
23,ultimateMiner,0,Did not die,753
24,ultimateMiner,0,Did not die,753
25,ultimateMiner,0,Did not die,753
