ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,649
1,searcher,0,Did not die,649
2,searcher,0,Did not die,649
3,searcher,0,Did not die,649
4,searcher,0,Did not die,649
5,digger,0,Did not die,649
6,digger,0,Did not die,649
7,digger,0,Did not die,649
8,digger,0,Did not die,649
9,digger,0,Pit,586
10,digger,0,Did not die,649
11,digger,0,Did not die,649
12,minerBuilder,0,Did not die,649
13,minerBuilder,0,Pit,505
14,minerBuilder,0,Did not die,649
15,minerBuilder,0,Did not die,649
16,minerBuilder,0,Did not die,649
17,superMiner,0,Did not die,649
18,superMiner,0,Did not die,649
19,superMiner,0,Did not die,649
20,superMiner,5,Did not die,649
21,superMiner,0,Did not die,649
22,ultimateMiner,0,Did not die,649
23,ultimateMiner,0,Pit,648
24,ultimateMiner,0,Did not die,649
25,ultimateMiner,0,Did not die,649
26,ultimateMiner,0,Did not die,649
