ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,772
1,searcher,0,Did not die,772
2,searcher,0,Did not die,772
3,searcher,0,Did not die,772
4,searcher,0,Did not die,772
5,digger,0,Did not die,772
6,digger,0,Did not die,772
7,digger,0,Did not die,772
8,digger,0,Pit,670
9,digger,0,Did not die,772
10,digger,0,Lava,765
11,digger,0,Did not die,772
12,digger,0,Pit,589
13,minerBuilder,0,Did not die,772
14,minerBuilder,0,Did not die,772
15,minerBuilder,0,Did not die,772
16,minerBuilder,0,Did not die,772
17,minerBuilder,0,Did not die,772
18,superMiner,0,Did not die,772
19,superMiner,0,Lava,771
20,superMiner,0,Did not die,772
21,superMiner,0,Did not die,772
22,superMiner,5,Did not die,772
23,ultimateMiner,0,Did not die,772
24,ultimateMiner,0,Did not die,772
25,ultimateMiner,0,Pit,524
26,ultimateMiner,5,Did not die,772
27,ultimateMiner,0,Did not die,772
