ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,805
1,searcher,0,Did not die,805
2,searcher,0,Did not die,805
3,searcher,0,Did not die,805
4,searcher,0,Did not die,805
5,digger,0,Did not die,805
6,digger,0,Did not die,805
7,digger,0,Did not die,805
8,digger,0,Pit,695
9,digger,0,Did not die,805
10,digger,0,Lava,790
11,digger,0,Pit,525
12,digger,0,Did not die,805
13,digger,0,Did not die,805
14,minerBuilder,0,Did not die,805
15,minerBuilder,0,Did not die,805
16,minerBuilder,0,Did not die,805
17,minerBuilder,0,Did not die,805
18,minerBuilder,0,Did not die,805
19,superMiner,0,Pit,609
20,superMiner,0,Did not die,805
21,superMiner,0,Did not die,805
22,superMiner,0,Lava,804
23,superMiner,0,Did not die,805
24,ultimateMiner,0,Did not die,805
25,ultimateMiner,0,Did not die,805
26,ultimateMiner,5,Did not die,805
27,ultimateMiner,0,Did not die,805
28,ultimateMiner,0,Did not die,805
