ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,641
1,searcher,0,Did not die,641
2,searcher,0,Did not die,641
3,searcher,0,Did not die,641
4,searcher,0,Did not die,641
5,digger,0,Did not die,641
6,digger,0,Did not die,641
7,digger,0,Did not die,641
8,digger,0,Did not die,641
9,digger,0,Did not die,641
10,digger,0,Did not die,641
11,digger,0,Did not die,641
12,digger,0,Did not die,641
13,digger,0,Did not die,641
14,digger,0,Did not die,641
15,minerBuilder,0,Pit,565
16,minerBuilder,0,Did not die,641
17,minerBuilder,0,Did not die,641
18,minerBuilder,0,Did not die,641
19,minerBuilder,0,Did not die,641
20,superMiner,5,Did not die,641
21,superMiner,0,Did not die,641
22,superMiner,5,Did not die,641
23,superMiner,0,Did not die,641
24,superMiner,0,Did not die,641
25,ultimateMiner,0,Did not die,641
26,ultimateMiner,0,Pit,640
27,ultimateMiner,0,Did not die,641
28,ultimateMiner,0,Did not die,641
29,ultimateMiner,0,Did not die,641
