ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,553
1,searcher,0,Did not die,553
2,searcher,0,Did not die,553
3,searcher,0,Did not die,553
4,searcher,0,Did not die,553
5,digger,0,Did not die,553
6,digger,0,Did not die,553
7,digger,0,Did not die,553
8,digger,0,Did not die,553
9,digger,0,Did not die,553
10,superMiner,0,Pit,369
11,superMiner,0,Did not die,553
12,superMiner,0,Did not die,553
13,superMiner,5,Did not die,553
14,superMiner,0,Lava,530
15,ultimateMiner,0,Did not die,553
16,ultimateMiner,0,Pit,475
17,ultimateMiner,0,Pit,434
18,ultimateMiner,0,Lava,552
19,ultimateMiner,0,Did not die,553
