ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,624
1,searcher,0,Did not die,624
2,searcher,0,Did not die,624
3,searcher,0,Did not die,624
4,searcher,0,Did not die,624
5,digger,0,Did not die,624
6,digger,0,Pit,467
7,digger,0,Lava,585
8,digger,0,Did not die,624
9,digger,0,Did not die,624
10,minerBuilder,0,Lava,615
11,minerBuilder,0,Did not die,624
12,superMiner,0,Did not die,624
13,superMiner,0,Did not die,624
14,superMiner,0,Pit,533
15,superMiner,0,Lava,623
16,superMiner,0,Did not die,624
17,ultimateMiner,0,Did not die,624
18,ultimateMiner,0,Did not die,624
19,ultimateMiner,0,Did not die,624
20,ultimateMiner,0,Pit,402
21,ultimateMiner,0,Did not die,624
