ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,768
1,searcher,0,Did not die,768
2,searcher,0,Did not die,768
3,searcher,0,Did not die,768
4,searcher,0,Did not die,768
5,digger,0,Lava,670
6,digger,0,Lava,644
7,digger,0,Pit,501
8,digger,0,Lava,645
9,digger,0,Pit,552
10,minerBuilder,0,Lava,767
11,minerBuilder,5,Did not die,768
12,minerBuilder,0,Lava,647
13,superMiner,0,Did not die,768
14,superMiner,0,Lava,622
15,superMiner,0,Did not die,768
16,superMiner,4,Did not die,768
17,superMiner,0,Did not die,768
18,ultimateMiner,0,Did not die,768
19,ultimateMiner,0,Did not die,768
20,ultimateMiner,0,Pit,428
21,ultimateMiner,5,Did not die,768
22,ultimateMiner,0,Did not die,768
