ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,602
1,searcher,0,Did not die,602
2,searcher,0,Did not die,602
3,searcher,0,Did not die,602
4,searcher,0,Did not die,602
5,digger,0,Did not die,602
6,digger,0,Did not die,602
7,digger,0,Did not die,602
8,digger,0,Did not die,602
9,digger,0,Did not die,602
10,minerBuilder,5,Did not die,602
11,minerBuilder,0,Did not die,602
12,minerBuilder,0,Did not die,602
13,minerBuilder,0,Did not die,602
14,minerBuilder,0,Did not die,602
15,superMiner,5,Did not die,602
16,superMiner,0,Did not die,602
17,superMiner,0,Did not die,602
18,superMiner,0,Did not die,602
19,superMiner,0,Did not die,602
20,ultimateMiner,0,Pit,601
21,ultimateMiner,0,Did not die,602
22,ultimateMiner,0,Pit,544
23,ultimateMiner,0,Did not die,602
24,ultimateMiner,0,Pit,467
