ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,561
1,searcher,0,Did not die,561
2,searcher,0,Did not die,561
3,searcher,0,Did not die,561
4,searcher,0,Did not die,561
5,digger,0,Did not die,561
6,digger,0,Did not die,561
7,digger,0,Did not die,561
8,digger,0,Did not die,561
9,digger,0,Did not die,561
10,minerBuilder,0,Did not die,561
11,minerBuilder,0,Did not die,561
12,minerBuilder,0,Did not die,561
13,minerBuilder,0,Did not die,561
14,minerBuilder,0,Pit,480
15,minerBuilder,5,Did not die,561
16,superMiner,0,Did not die,561
17,superMiner,0,Did not die,561
18,superMiner,0,Did not die,561
19,superMiner,0,Did not die,561
20,superMiner,0,Did not die,561
21,ultimateMiner,0,Did not die,561
22,ultimateMiner,0,Did not die,561
23,ultimateMiner,5,Did not die,561
24,ultimateMiner,0,Did not die,561
25,ultimateMiner,0,Pit,560
