ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,584
1,searcher,0,Did not die,584
2,searcher,0,Did not die,584
3,searcher,0,Did not die,584
4,searcher,0,Did not die,584
5,digger,0,Did not die,584
6,digger,0,Did not die,584
7,digger,0,Did not die,584
8,digger,0,Did not die,584
9,digger,0,Did not die,584
10,minerBuilder,0,Did not die,584
11,minerBuilder,5,Did not die,584
12,minerBuilder,0,Did not die,584
13,minerBuilder,0,Did not die,584
14,minerBuilder,0,Pit,501
15,minerBuilder,0,Did not die,584
16,minerBuilder,0,Did not die,584
17,superMiner,0,Did not die,584
18,superMiner,0,Did not die,584
19,superMiner,5,Did not die,584
20,superMiner,0,Pit,583
21,superMiner,0,Did not die,584
22,ultimateMiner,0,Did not die,584
23,ultimateMiner,0,Did not die,584
24,ultimateMiner,0,Did not die,584
25,ultimateMiner,0,Did not die,584
26,ultimateMiner,0,Did not die,584
