ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,594
1,searcher,0,Did not die,594
2,searcher,0,Did not die,594
3,searcher,0,Did not die,594
4,searcher,0,Did not die,594
5,digger,0,Did not die,594
6,digger,0,Did not die,594
7,digger,0,Did not die,594
8,digger,0,Did not die,594
9,digger,0,Did not die,594
10,minerBuilder,0,Did not die,594
11,minerBuilder,0,Did not die,594
12,minerBuilder,0,Did not die,594
13,minerBuilder,5,Did not die,594
14,minerBuilder,0,Did not die,594
15,minerBuilder,0,Did not die,594
16,minerBuilder,0,Pit,593
17,minerBuilder,0,Did not die,594
18,superMiner,0,Did not die,594
19,superMiner,0,Did not die,594
20,superMiner,0,Pit,504
21,superMiner,0,Did not die,594
22,superMiner,5,Did not die,594
23,ultimateMiner,0,Did not die,594
24,ultimateMiner,0,Did not die,594
25,ultimateMiner,0,Did not die,594
26,ultimateMiner,0,Did not die,594
27,ultimateMiner,0,Did not die,594
