ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,532
1,searcher,0,Did not die,532
2,searcher,0,Did not die,532
3,searcher,0,Did not die,532
4,searcher,0,Did not die,532
5,digger,0,Did not die,532
6,digger,0,Did not die,532
7,digger,0,Did not die,532
8,digger,0,Did not die,532
9,digger,0,Did not die,532
10,minerBuilder,0,Did not die,532
11,minerBuilder,0,Did not die,532
12,minerBuilder,0,Did not die,532
13,minerBuilder,0,Did not die,532
14,minerBuilder,0,Did not die,532
15,minerBuilder,0,Did not die,532
16,minerBuilder,0,Did not die,532
17,minerBuilder,0,Did not die,532
18,minerBuilder,0,Did not die,532
19,superMiner,0,Did not die,532
20,superMiner,0,Did not die,532
21,superMiner,0,Did not die,532
22,superMiner,0,Did not die,532
23,superMiner,0,Did not die,532
24,ultimateMiner,0,Did not die,532
25,ultimateMiner,2,Did not die,532
26,ultimateMiner,0,Did not die,532
27,ultimateMiner,0,Pit,531
28,ultimateMiner,2,Did not die,532
