ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,548
1,searcher,0,Did not die,548
2,searcher,0,Did not die,548
3,searcher,0,Did not die,548
4,searcher,0,Did not die,548
5,digger,0,Did not die,548
6,digger,0,Did not die,548
7,digger,0,Did not die,548
8,digger,0,Did not die,548
9,digger,0,Did not die,548
10,minerBuilder,0,Did not die,548
11,minerBuilder,0,Did not die,548
12,minerBuilder,0,Did not die,548
13,minerBuilder,0,Did not die,548
14,minerBuilder,0,Did not die,548
15,minerBuilder,2,Did not die,548
16,minerBuilder,0,Did not die,548
17,minerBuilder,0,Did not die,548
18,minerBuilder,0,Did not die,548
19,minerBuilder,0,Did not die,548
20,superMiner,0,Did not die,548
21,superMiner,0,Did not die,548
22,superMiner,0,Did not die,548
23,superMiner,0,Did not die,548
24,superMiner,0,Did not die,548
25,ultimateMiner,2,Did not die,548
26,ultimateMiner,0,Did not die,548
27,ultimateMiner,0,Pit,547
28,ultimateMiner,0,Did not die,548
29,ultimateMiner,0,Did not die,548
