ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,826
1,searcher,0,Did not die,826
2,searcher,0,Did not die,826
3,searcher,0,Did not die,826
4,searcher,0,Did not die,826
5,digger,0,Lava,578
6,digger,0,Lava,533
7,digger,0,River,804
8,digger,0,Lava,547
9,digger,0,Pit,474
10,superMiner,0,Lava,569
11,superMiner,9,Did not die,826
12,superMiner,0,Lava,655
13,superMiner,0,River,825
14,superMiner,0,Pit,372
15,ultimateMiner,0,Pit,435
16,ultimateMiner,3,Did not die,826
17,ultimateMiner,0,Did not die,826
18,ultimateMiner,3,Did not die,826
19,ultimateMiner,0,Did not die,826
