ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,644
1,searcher,0,Did not die,644
2,searcher,0,Did not die,644
3,searcher,0,Did not die,644
4,searcher,0,Did not die,644
5,digger,0,Did not die,644
6,digger,0,Did not die,644
7,digger,0,Did not die,644
8,digger,0,Pit,555
9,digger,0,Did not die,644
10,minerBuilder,0,Did not die,644
11,minerBuilder,0,Pit,421
12,minerBuilder,3,Did not die,644
13,superMiner,0,Did not die,644
14,superMiner,0,Did not die,644
15,superMiner,0,Did not die,644
16,superMiner,0,Lava,643
17,superMiner,0,Lava,623
18,ultimateMiner,0,Pit,486
19,ultimateMiner,0,Did not die,644
20,ultimateMiner,0,Did not die,644
21,ultimateMiner,3,Did not die,644
22,ultimateMiner,0,Did not die,644
