ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,753
1,searcher,0,Did not die,753
2,searcher,0,Did not die,753
3,searcher,0,Did not die,753
4,searcher,0,Did not die,753
5,digger,0,Did not die,753
6,digger,0,Did not die,753
7,digger,0,Lava,724
8,digger,0,Pit,573
9,digger,0,Pit,662
10,minerBuilder,0,Did not die,753
11,minerBuilder,0,Did not die,753
12,minerBuilder,3,Did not die,753
13,minerBuilder,0,Did not die,753
14,minerBuilder,0,Did not die,753
15,minerBuilder,0,Did not die,753
16,minerBuilder,0,Did not die,753
17,superMiner,0,Did not die,753
18,superMiner,0,Did not die,753
19,superMiner,0,Pit,504
20,superMiner,0,Did not die,753
21,superMiner,0,Did not die,753
22,ultimateMiner,0,Did not die,753
23,ultimateMiner,0,Lava,752
24,ultimateMiner,3,Did not die,753
25,ultimateMiner,0,Did not die,753
26,ultimateMiner,0,Did not die,753
