ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,566
1,searcher,0,Did not die,566
2,searcher,0,Did not die,566
3,searcher,0,Did not die,566
4,searcher,0,Did not die,566
5,digger,0,Did not die,566
6,digger,0,Did not die,566
7,digger,0,Did not die,566
8,digger,0,Did not die,566
9,digger,0,Did not die,566
10,minerBuilder,0,Did not die,566
11,minerBuilder,0,Did not die,566
12,minerBuilder,2,Did not die,566
13,minerBuilder,3,Did not die,566
14,minerBuilder,0,Did not die,566
15,minerBuilder,0,Did not die,566
16,minerBuilder,0,Did not die,566
17,minerBuilder,0,Pit,565
18,minerBuilder,0,Did not die,566
19,minerBuilder,0,Did not die,566
20,superMiner,0,Did not die,566
21,superMiner,0,Did not die,566
22,superMiner,0,Did not die,566
23,superMiner,0,Did not die,566
24,superMiner,0,Did not die,566
25,ultimateMiner,0,Did not die,566
26,ultimateMiner,0,Did not die,566
27,ultimateMiner,0,Did not die,566
28,ultimateMiner,0,Did not die,566
29,ultimateMiner,0,Did not die,566
