ID,Type,TotalGoldMined,Death,Time
0,digger,0,Did not die,482
1,digger,0,Did not die,482
2,digger,0,Did not die,482
3,digger,0,Did not die,482
4,digger,0,Did not die,482
5,minerBuilder,0,Did not die,482
6,minerBuilder,0,Did not die,482
7,minerBuilder,5,Did not die,482
8,minerBuilder,0,Did not die,482
9,minerBuilder,0,Pit,375
10,superMiner,0,Pit,427
11,superMiner,0,Did not die,482
12,superMiner,0,Did not die,482
13,superMiner,0,Did not die,482
14,superMiner,5,Did not die,482
15,ultimateMiner,0,Did not die,482
16,ultimateMiner,0,Did not die,482
17,ultimateMiner,0,Pit,481
18,ultimateMiner,0,Did not die,482
19,ultimateMiner,0,Did not die,482
